subject_id,task,premise_1,premise_2,number_models_generated,std_models_generated,minimum_models_generated,maximum_models_generated,n_samples,n_parameter_sets_used,epsilon,lambda,omega,sigma
64890,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.6000000000000001,3.2600000000000002,0.0,0.5
64890,2,All B are C,All A are B,2.3,0.4583,2,3,20,1,0.6000000000000001,3.2600000000000002,0.0,0.5
64890,3,All B are C,All A are C,2.45,0.4975,2,3,20,1,0.6000000000000001,3.2600000000000002,0.0,0.5
64890,4,All B are C,No A are B,4.2,2.2271,2,7,20,1,0.6000000000000001,3.2600000000000002,0.0,0.5
64919,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.5,4.05,0.2,0.9
64919,2,All B are C,All A are B,2.75,0.433,2,3,20,1,0.5,4.05,0.2,0.9
64919,3,All B are C,All A are C,2.85,0.3571,2,3,20,1,0.5,4.05,0.2,0.9
64919,4,All B are C,No A are B,6.65,1.6815,2,8,20,1,0.5,4.05,0.2,0.9
64923,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.6000000000000001,3.2600000000000002,0.0,0.5
64923,2,All B are C,All A are B,2.3,0.4583,2,3,20,1,0.6000000000000001,3.2600000000000002,0.0,0.5
64923,3,All B are C,All A are C,2.45,0.4975,2,3,20,1,0.6000000000000001,3.2600000000000002,0.0,0.5
64923,4,All B are C,No A are B,4.2,2.2271,2,7,20,1,0.6000000000000001,3.2600000000000002,0.0,0.5
64926,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.5,4.05,0.5,0.5
64926,2,All B are C,All A are B,2.35,0.477,2,3,20,1,0.5,4.05,0.5,0.5
64926,3,All B are C,All A are C,2.5,0.5,2,3,20,1,0.5,4.05,0.5,0.5
64926,4,All B are C,No A are B,4.7,2.492,2,8,20,1,0.5,4.05,0.5,0.5
64939,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.5,4.05,0.6000000000000001,0.1
64939,2,All B are C,All A are B,2.0,0.0,2,2,20,1,0.5,4.05,0.6000000000000001,0.1
64939,3,All B are C,All A are C,2.1,0.3,2,3,20,1,0.5,4.05,0.6000000000000001,0.1
64939,4,All B are C,No A are B,2.75,1.8131,2,8,20,1,0.5,4.05,0.6000000000000001,0.1
64947,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.5,4.05,0.5,0.2
64947,2,All B are C,All A are B,2.15,0.3571,2,3,20,1,0.5,4.05,0.5,0.2
64947,3,All B are C,All A are C,2.2,0.4,2,3,20,1,0.5,4.05,0.5,0.2
64947,4,All B are C,No A are B,2.5,1.533,2,8,20,1,0.5,4.05,0.5,0.2
64973,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.5,4.05,0.5,0.2
64973,2,All B are C,All A are B,2.15,0.3571,2,3,20,1,0.5,4.05,0.5,0.2
64973,3,All B are C,All A are C,2.2,0.4,2,3,20,1,0.5,4.05,0.5,0.2
64973,4,All B are C,No A are B,2.5,1.533,2,8,20,1,0.5,4.05,0.5,0.2
64976,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.5,4.05,0.6000000000000001,0.1
64976,2,All B are C,All A are B,2.0,0.0,2,2,20,1,0.5,4.05,0.6000000000000001,0.1
64976,3,All B are C,All A are C,2.1,0.3,2,3,20,1,0.5,4.05,0.6000000000000001,0.1
64976,4,All B are C,No A are B,2.75,1.8131,2,8,20,1,0.5,4.05,0.6000000000000001,0.1
65018,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.6000000000000001,3.2600000000000002,0.0,0.5
65018,2,All B are C,All A are B,2.3,0.4583,2,3,20,1,0.6000000000000001,3.2600000000000002,0.0,0.5
65018,3,All B are C,All A are C,2.45,0.4975,2,3,20,1,0.6000000000000001,3.2600000000000002,0.0,0.5
65018,4,All B are C,No A are B,4.2,2.2271,2,7,20,1,0.6000000000000001,3.2600000000000002,0.0,0.5
65021,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.5,4.05,0.2,0.9
65021,2,All B are C,All A are B,2.75,0.433,2,3,20,1,0.5,4.05,0.2,0.9
65021,3,All B are C,All A are C,2.85,0.3571,2,3,20,1,0.5,4.05,0.2,0.9
65021,4,All B are C,No A are B,6.65,1.6815,2,8,20,1,0.5,4.05,0.2,0.9
65028,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.5,4.05,0.2,0.9
65028,2,All B are C,All A are B,2.75,0.433,2,3,20,1,0.5,4.05,0.2,0.9
