subject_id,intuitive_accuracy,reflective_accuracy,mean_for_int,mean_for_ref,mean_rt_int,mean_rt_ref,mean_number_models_generated_int,median_number_models_generated_int,std_number_models_generated_int,minimum_number_models_generated_int,maximum_number_models_generated_int,mean_number_models_generated_ref,median_number_models_generated_ref,std_number_models_generated_ref,minimum_number_models_generated_ref,maximum_number_models_generated_ref,mean_models_change,response_change_rate,mean_accuracy_gain,mean_confidence_change,mean_rt_change,number_of_trials,number_of_task_types,model_group_int,model_group_ref
69860,92.06349206349206,93.65079365079364,75.41269841269842,84.9047619047619,3829.0349206394617,1831.5258064462298,2.0,2.0,0.0,2,2,3.693121693121693,3.0,1.9777449843959103,2,8,1.693121693121693,4.761904761904762,0.015873015873015872,9.492063492063492,-1998.6725806555428,63,4,Gr. 1 (moy ~ 2.00),Gr. 3 (moy ~ 3.64)
69862,49.122807017543856,43.859649122807014,77.9298245614035,78.47368421052632,4484.400000000046,589.4052631579539,2.0,2.0,0.0,2,2,2.0935672514619883,2.0,0.15111209395719472,2,3,0.09356725146198834,5.263157894736842,-0.05263157894736842,0.543859649122807,-3894.994736842092,57,4,Gr. 1 (moy ~ 2.00),Gr. 1 (moy ~ 2.08)
69870,92.45283018867924,96.22641509433963,72.67924528301887,86.33962264150944,4874.532075470349,6372.679245280769,2.0,2.0,0.0,2,2,3.7484276729559745,3.0,1.9988304917991357,2,8,1.7484276729559747,7.547169811320755,0.03773584905660377,13.660377358490566,1498.1471698104199,53,4,Gr. 1 (moy ~ 2.00),Gr. 3 (moy ~ 3.64)
69874,92.06349206349206,92.06349206349206,98.28571428571429,98.31746031746032,3774.846031746033,957.2177419354784,2.0,2.0,0.0,2,2,3.6137566137566135,2.6666666666666665,1.9429187196785245,2,8,1.6137566137566135,3.1746031746031744,0.0,0.031746031746031744,-2784.2193548387168,63,4,Gr. 1 (moy ~ 2.00),Gr. 3 (moy ~ 3.64)
69875,58.730158730158735,53.96825396825397,73.85714285714286,74.07936507936508,3522.5190476193316,1760.5580645160328,2.0,2.0,0.0,2,2,3.7777777777777777,3.0,2.315600822348011,2,8,1.7777777777777777,11.11111111111111,-0.047619047619047616,0.2222222222222222,-1728.0758064519014,63,4,Gr. 1 (moy ~ 2.00),Gr. 3 (moy ~ 3.64)
69876,50.0,48.4375,76.1875,78.734375,3310.582812499968,1153.5593749999753,2.0,2.0,0.0,2,2,2.083333333333333,2.0,0.14547859349066156,2,3,0.08333333333333337,4.6875,-0.015625,2.546875,-2157.0234374999927,64,4,Gr. 1 (moy ~ 2.00),Gr. 1 (moy ~ 2.08)
69880,88.67924528301887,96.22641509433963,70.56603773584905,88.62264150943396,4845.3867924532515,3275.6333333329826,2.0,2.0,0.0,2,2,3.49685534591195,2.6666666666666665,1.8474082579137285,2,8,1.4968553459119496,7.547169811320755,0.07547169811320754,18.056603773584907,-1586.1039215694454,53,4,Gr. 1 (moy ~ 2.00),Gr. 3 (moy ~ 3.64)
69882,68.25396825396825,90.47619047619048,45.57142857142857,87.03174603174604,4129.809523807632,12074.911290328351,2.0,2.0,0.0,2,2,3.693121693121693,3.0,1.9777449843959103,2,8,1.693121693121693,28.57142857142857,0.2222222222222222,41.46031746031746,7943.9806451682125,63,4,Gr. 1 (moy ~ 2.00),Gr. 3 (moy ~ 3.64)
69888,85.24590163934425,95.08196721311475,46.295081967213115,49.14754098360656,4631.081967213115,7896.7,2.0,2.0,0.0,2,2,3.650273224043716,2.6666666666666665,1.9620720618663028,2,8,1.6502732240437157,13.114754098360656,0.09836065573770492,2.8524590163934427,3277.6,61,4,Gr. 1 (moy ~ 2.00),Gr. 3 (moy ~ 3.64)
69900,74.28571428571429,71.42857142857143,81.05714285714286,97.8,5597.660000010899,3535.3764705763124,2.0,2.0,0.0,2,2,3.9619047619047616,3.0,2.1171127036162387,2,8,1.961904761904762,20.0,-0.02857142857142857,16.742857142857144,-2036.2617647297259,35,4,Gr. 1 (moy ~ 2.00),Gr. 3 (moy ~ 3.64)
69906,50.0,51.61290322580645,93.41935483870968,96.62903225806451,4278.238709674728,1834.4354838671225,2.0,2.0,0.0,2,2,2.4892473118279566,2.1666666666666665,0.6847752132350757,2,7,0.4892473118279569,1.6129032258064515,0.016129032258064516,3.2096774193548385,-2443.803225807605,62,4,Gr. 1 (moy ~ 2.00),Gr. 2 (moy ~ 2.52)
