subject_id,task_type,models_n3,models_n10,models_n20,difference_n10_minus_n3,difference_n20_minus_n3,difference_n20_minus_n10
65065,MP,2.3333,2.4,2.75,0.06669999999999998,0.41670000000000007,0.3500000000000001
65065,MT,2.0,2.0,2.0,0.0,0.0,0.0
65071,AC,2.0,2.0,2.1,0.0,0.10000000000000009,0.10000000000000009
65071,DA,2.0,2.9,2.75,0.8999999999999999,0.75,-0.1499999999999999
65071,MP,2.3333,2.2,2.0,-0.13329999999999975,-0.33329999999999993,-0.20000000000000018
65071,MT,2.0,2.0,2.0,0.0,0.0,0.0
65079,AC,3.0,2.9,2.95,-0.10000000000000009,-0.04999999999999982,0.050000000000000266
65079,DA,6.3333,6.6,6.6,0.26669999999999927,0.26669999999999927,0.0
65079,MP,2.0,2.5,2.5,0.5,0.5,0.0
65079,MT,2.0,2.0,2.0,0.0,0.0,0.0
65080,AC,3.0,3.0,2.85,0.0,-0.1499999999999999,-0.1499999999999999
65080,DA,5.3333,6.4,6.65,1.0667,1.3167,0.25
65080,MP,2.3333,2.4,2.75,0.06669999999999998,0.41670000000000007,0.3500000000000001
65080,MT,2.0,2.0,2.0,0.0,0.0,0.0
65088,AC,2.3333,2.1,2.2,-0.23329999999999984,-0.13329999999999975,0.10000000000000009
65088,DA,3.6667,3.4,2.5,-0.26670000000000016,-1.1667,-0.8999999999999999
65088,MP,2.3333,2.3,2.15,-0.03330000000000011,-0.18330000000000002,-0.1499999999999999
65088,MT,2.0,2.0,2.0,0.0,0.0,0.0
65112,AC,3.0,3.0,2.85,0.0,-0.1499999999999999,-0.1499999999999999
65112,DA,5.3333,6.4,6.65,1.0667,1.3167,0.25
65112,MP,2.3333,2.4,2.75,0.06669999999999998,0.41670000000000007,0.3500000000000001
65112,MT,2.0,2.0,2.0,0.0,0.0,0.0
65163,AC,2.3333,2.1,2.2,-0.23329999999999984,-0.13329999999999975,0.10000000000000009
65163,DA,3.6667,3.4,2.5,-0.26670000000000016,-1.1667,-0.8999999999999999
65163,MP,2.3333,2.3,2.15,-0.03330000000000011,-0.18330000000000002,-0.1499999999999999
65163,MT,2.0,2.0,2.0,0.0,0.0,0.0
65216,AC,2.6667,2.9,2.75,0.23329999999999984,0.08329999999999993,-0.1499999999999999
65216,DA,7.3333,5.6,6.15,-1.7333000000000007,-1.1833,0.5500000000000007
65216,MP,2.6667,2.5,2.4,-0.16670000000000007,-0.26670000000000016,-0.10000000000000009
65216,MT,2.0,2.0,2.0,0.0,0.0,0.0
65222,AC,2.0,2.0,2.1,0.0,0.10000000000000009,0.10000000000000009
65222,DA,2.0,2.9,2.75,0.8999999999999999,0.75,-0.1499999999999999
65222,MP,2.3333,2.2,2.0,-0.13329999999999975,-0.33329999999999993,-0.20000000000000018
65222,MT,2.0,2.0,2.0,0.0,0.0,0.0
65278,AC,3.0,3.0,2.85,0.0,-0.1499999999999999,-0.1499999999999999
65278,DA,5.3333,6.4,6.65,1.0667,1.3167,0.25
65278,MP,2.3333,2.4,2.75,0.06669999999999998,0.41670000000000007,0.3500000000000001
65278,MT,2.0,2.0,2.0,0.0,0.0,0.0
65305,AC,2.0,2.0,2.1,0.0,0.10000000000000009,0.10000000000000009
65305,DA,2.0,2.9,2.75,0.8999999999999999,0.75,-0.1499999999999999
65305,MP,2.3333,2.2,2.0,-0.13329999999999975,-0.33329999999999993,-0.20000000000000018
65305,MT,2.0,2.0,2.0,0.0,0.0,0.0
65322,AC,3.0,3.0,2.85,0.0,-0.1499999999999999,-0.1499999999999999
65322,DA,5.3333,6.4,6.65,1.0667,1.3167,0.25
65322,MP,2.3333,2.4,2.75,0.06669999999999998,0.41670000000000007,0.3500000000000001
65322,MT,2.0,2.0,2.0,0.0,0.0,0.0
65323,AC,2.0,2.0,2.1,0.0,0.10000000000000009,0.10000000000000009
65323,DA,2.0,2.9,2.75,0.8999999999999999,0.75,-0.1499999999999999
65323,MP,2.3333,2.2,2.0,-0.13329999999999975,-0.33329999999999993,-0.20000000000000018
65323,MT,2.0,2.0,2.0,0.0,0.0,0.0
65466,AC,2.0,2.0,2.1,0.0,0.10000000000000009,0.10000000000000009
65466,DA,2.0,2.9,2.75,0.8999999999999999,0.75,-0.1499999999999999
65466,MP,2.3333,2.2,2.0,-0.13329999999999975,-0.33329999999999993,-0.20000000000000018
65466,MT,2.0,2.0,2.0,0.0,0.0,0.0
