subject_id,task,premise_1,premise_2,number_models_generated,std_models_generated,minimum_models_generated,maximum_models_generated,n_samples,n_parameter_sets_used,epsilon,lambda,omega,sigma,task_type,simulation_setting
64776,4,All B are C,No A are B,2.0,0.0,2,2,3,1,0.5,4.05,0.6000000000000001,0.1,DA,3
64793,1,All B are C,No A are C,2.0,0.0,2,2,3,1,0.5,4.05,0.6000000000000001,0.1,MT,3
64793,2,All B are C,All A are B,2.3333,0.4714,2,3,3,1,0.5,4.05,0.6000000000000001,0.1,MP,3
64793,3,All B are C,All A are C,2.0,0.0,2,2,3,1,0.5,4.05,0.6000000000000001,0.1,AC,3
64793,4,All B are C,No A are B,2.0,0.0,2,2,3,1,0.5,4.05,0.6000000000000001,0.1,DA,3
64806,1,All B are C,No A are C,2.0,0.0,2,2,3,1,0.5,4.05,0.2,0.9,MT,3
64806,2,All B are C,All A are B,2.3333,0.4714,2,3,3,1,0.5,4.05,0.2,0.9,MP,3
64806,3,All B are C,All A are C,3.0,0.0,3,3,3,1,0.5,4.05,0.2,0.9,AC,3
64806,4,All B are C,No A are B,5.3333,2.357,2,7,3,1,0.5,4.05,0.2,0.9,DA,3
64843,1,All B are C,No A are C,2.0,0.0,2,2,3,1,0.6000000000000001,3.26,0.0,0.5,MT,3
64843,2,All B are C,All A are B,2.3333,0.4714,2,3,3,1,0.6000000000000001,3.26,0.0,0.5,MP,3
64843,3,All B are C,All A are C,3.0,0.0,3,3,3,1,0.6000000000000001,3.26,0.0,0.5,AC,3
64843,4,All B are C,No A are B,3.3333,1.8856,2,6,3,1,0.6000000000000001,3.26,0.0,0.5,DA,3
64869,1,All B are C,No A are C,2.0,0.0,2,2,3,1,0.5,4.05,0.6000000000000001,0.1,MT,3
64869,2,All B are C,All A are B,2.3333,0.4714,2,3,3,1,0.5,4.05,0.6000000000000001,0.1,MP,3
64869,3,All B are C,All A are C,2.0,0.0,2,2,3,1,0.5,4.05,0.6000000000000001,0.1,AC,3
64869,4,All B are C,No A are B,2.0,0.0,2,2,3,1,0.5,4.05,0.6000000000000001,0.1,DA,3
64871,1,All B are C,No A are C,2.0,0.0,2,2,3,1,0.6000000000000001,3.26,0.0,0.5,MT,3
64871,2,All B are C,All A are B,2.3333,0.4714,2,3,3,1,0.6000000000000001,3.26,0.0,0.5,MP,3
64871,3,All B are C,All A are C,3.0,0.0,3,3,3,1,0.6000000000000001,3.26,0.0,0.5,AC,3
64871,4,All B are C,No A are B,3.3333,1.8856,2,6,3,1,0.6000000000000001,3.26,0.0,0.5,DA,3
64882,1,All B are C,No A are C,2.0,0.0,2,2,3,1,0.5,4.05,0.6000000000000001,0.1,MT,3
64882,2,All B are C,All A are B,2.3333,0.4714,2,3,3,1,0.5,4.05,0.6000000000000001,0.1,MP,3
64882,3,All B are C,All A are C,2.0,0.0,2,2,3,1,0.5,4.05,0.6000000000000001,0.1,AC,3
64882,4,All B are C,No A are B,2.0,0.0,2,2,3,1,0.5,4.05,0.6000000000000001,0.1,DA,3
64888,1,All B are C,No A are C,2.0,0.0,2,2,3,1,0.5,4.05,0.2,0.9,MT,3
64888,2,All B are C,All A are B,2.3333,0.4714,2,3,3,1,0.5,4.05,0.2,0.9,MP,3
64888,3,All B are C,All A are C,3.0,0.0,3,3,3,1,0.5,4.05,0.2,0.9,AC,3
64888,4,All B are C,No A are B,5.3333,2.357,2,7,3,1,0.5,4.05,0.2,0.9,DA,3
64890,1,All B are C,No A are C,2.0,0.0,2,2,3,1,0.6000000000000001,3.26,0.0,0.5,MT,3
64890,2,All B are C,All A are B,2.3333,0.4714,2,3,3,1,0.6000000000000001,3.26,0.0,0.5,MP,3
64890,3,All B are C,All A are C,3.0,0.0,3,3,3,1,0.6000000000000001,3.26,0.0,0.5,AC,3
64890,4,All B are C,No A are B,3.3333,1.8856,2,6,3,1,0.6000000000000001,3.26,0.0,0.5,DA,3
64919,1,All B are C,No A are C,2.0,0.0,2,2,3,1,0.5,4.05,0.2,0.9,MT,3
64919,2,All B are C,All A are B,2.3333,0.4714,2,3,3,1,0.5,4.05,0.2,0.9,MP,3
64919,3,All B are C,All A are C,3.0,0.0,3,3,3,1,0.5,4.05,0.2,0.9,AC,3
64919,4,All B are C,No A are B,5.3333,2.357,2,7,3,1,0.5,4.05,0.2,0.9,DA,3
64923,1,All B are C,No A are C,2.0,0.0,2,2,3,1,0.6000000000000001,3.26,0.0,0.5,MT,3
64923,2,All B are C,All A are B,2.3333,0.4714,2,3,3,1,0.6000000000000001,3.26,0.0,0.5,MP,3
64923,3,All B are C,All A are C,3.0,0.0,3,3,3,1,0.6000000000000001,3.26,0.0,0.5,AC,3
64923,4,All B are C,No A are B,3.3333,1.8856,2,6,3,1,0.6000000000000001,3.26,0.0,0.5,DA,3
64926,1,All B are C,No A are C,2.0,0.0,2,2,3,1,0.5,4.05,0.5,0.5,MT,3
