"sona_id","age","gender","condition","stimulus","type","validity","believability","conflict","qnum","total_qnum","response","correct","rt","logRT","feelingR","rt_for","trial_num","statementEval"
"63884",18,"Female","Neutral","<p>All plants are slourby.</p><p>Mushrooms are not slourby.</p>","MT","Valid","Believable","No-conflict","6",77,"No","false",2469.30000001192,7.81168998865154,39,1611.20000001788,46,2
"63884",18,"Female","Neutral","<p>All broans have feathers.</p><p>Parrots are broans.</p>","MP","Valid","Believable","No-conflict","7",11,"Yes","true",2091.5,7.64563679088225,89,1941.09999999404,47,9
"63884",18,"Female","Neutral","<p>All sherg is liquid.</p><p>Coal is sherg.</p>","MP","Valid","Unbelievable","Conflict","6",85,"No","false",1852,7.52402141520612,71,4849,48,3
"63884",18,"Female","Neutral","<p>All birds have spuckes.</p><p>Parrots have spuckes.</p>","AC","Invalid","Believable","Conflict","7",9,"Yes","false",2398.80000001192,7.78272389129932,100,2051.09999999404,49,10
"63884",18,"Female","Neutral","<p>All smolns are hard to break.</p><p>Bricks are not smolns.</p>","DA","Invalid","Unbelievable","No-conflict","7",88,"No","true",3006.60000002384,8.00856515120166,59,2556.5,50,3
"63884",18,"Female","Neutral","<p>All jilms are sour.</p><p>Oranges are jilms.</p>","MP","Valid","Unbelievable","Conflict","8",52,"Yes","true",2975.5,7.99816737108491,57,1725.19999998808,51,6
"63884",18,"Female","Neutral","<p>All gheshes have snouts.</p><p>Labradors are gheshes.</p>","MP","Valid","Believable","No-conflict","3",34,"Yes","true",1544.5,7.34245551235864,65,1655.30000001192,52,9
"63884",18,"Female","Neutral","<p>All hirks have teeth.</p><p>Sharks are not hirks.</p>","DA","Invalid","Unbelievable","No-conflict","5",44,"No","true",4087.5,8.31568881520551,83,2041.09999999404,53,0
"63884",18,"Female","Neutral","<p>All things that need meiv have lungs.</p><p>Dead people don't need meiv.</p>","DA","Invalid","Unbelievable","No-conflict","3",108,"No","true",3675.09999999404,8.20933562215946,68,1790.30000001192,54,3
"63884",18,"Female","Neutral","<p>All metals are hwill.</p><p>Mercury is not hwill.</p>","MT","Valid","Unbelievable","Conflict","2",71,"No","false",3354,8.11790894238315,26,2731.29999998212,55,6
"63884",18,"Female","Neutral","<p>All trees will become crill.</p><p>Skyscrapers under construction will become crill.</p>","AC","Invalid","Unbelievable","No-conflict","4",119,"No","true",4194.80000001192,8.34160094196309,14,1987.70000001788,56,3
"63884",18,"Female","Neutral","<p>All things that are smoked are rorg.</p><p>Salad is not rorg.</p>","MT","Valid","Believable","No-conflict","4",107,"Yes","true",3470.09999999404,8.15193869096775,66,2296,57,1
"63884",18,"Female","Neutral","<p>All lava is rhully.</p><p>Water is rhully.</p>","AC","Invalid","Unbelievable","No-conflict","7",59,"No","true",2454.5,7.80567835349811,83,2492.69999998808,58,2
"63884",18,"Female","Neutral","<p>All fruits can be feffed.</p><p>Knives cannot be feffed.</p>","MT","Valid","Believable","No-conflict","2",30,"Yes","true",8939.80000001192,9.098268496554,68,1524.59999999404,59,2
